texto,rotulo
"já fiz elogios a respeito da compra pelo site que sempre foi o melhor, porém, sobre o produto, com 8 dias a lente acrilica rompeu nos parafusos. tentei reinstalar com 2 cavidades de parafusos extras e só me aborreci. acabei de comprar uma lente nova que foi o olho da cara, tendo em vista a dificuldade em achar a mesma...resumindo, o produto é fragil demais, e ainda por cima travou 2 vezes com o capacete que não abria nem como o capeta. recomendo comprar com o site, mas o produto com certeza, não recomendo!",1
câmera excelente e a entrega mais rápida do que eu imaginava! adorei!!!!!,5
"muito rápido ,ótima resolução das câmeras frontal e traseira. ótimo designer.",5
não recebi o produto e não consigo entrar em contato com a empresa.,1
"recomendo para seu filho, ele pode criar usar a imaginação.",5
tudo o que eu sempre quis foi pagar 2 mil reais em um copo de plástico. excelente oportunidade de se dar bem na vida.,5
"o produto atebdeu as expectativas, possui alta qualidade e é de fácil utilização.",4
"excelente custo beneficio, é lógico que possui muitas peças em plástico,o que requer mais cuidado como manuseios, para aumentar a durabilidade, mas a finalidade de uso doméstico ele se encaixa bem. e se compararmos o preço com os concorrentes ele fica abaixa no mercado. é um produto bom,bonito e barato",4
morra a mãe de quem colocou esse preço... fdc! excelente compra pra quem ganhou na mega da virada...,5
bela imagem. otimo custo beneficio. fiquei muito contente com a qualidade do produto. entrega rapida.,5
chegou apenas um dos três dinossauros e ninguém me responde quando chega os outros dois,1
"produto ótimo, preço bom a entrega feita pela terceirizada do produto deixa a desejar.",4
não gosteido produto esperava outras coisa pelo valor pós demora muito pra assar toda hora se desligar.por isso que demora muito,2
"comprei e paguei pelo produto mas não recebi! apenas recebi um aviso de que tem problema com a entrega, isso já faz mais de 20 dias!",1
ótimo produto. excelente vendedor. produto entregue muito antes da data e em perfeitas condições.,4
logo de especial e que faz a diferença é a bateria. não trava e além de ser um aparelho rápido. recomendo a qualquer pessoas pois sei que não vai se arrepender!!!,5
"além de ter gostado do produto, gostei ainda mais do prazo de entrega que foi muito rápido. como era para presente de natal chegou antes do prazo previsto . obrigada",3
"recomendo , chegou antes do prazo, em perfeito estado, americanas mais uma vez respondendo com as minhas expectativas.",5
"o material é razoável e as instruções de montagem não são claras. não contém peças para adaptar tv de 32 da samsung, conjunto muito ruim. talvez funcione em outros tamanhos e marcas.",2
"excelente guarda-roupa! estou com ele a praticamente 10 anos, suportou duas enchentes e agora que o bichinho começou a ceder.",5
extras muito legais. pra quem éfa precisa ter esse blu-ray. minha namorada adorou.,5
otimo produto recomendo otimo produto recomendo otimo produto recomendo,4
"simplesmente incrível. e o melhor? você só precisa trabalhar 1 único mês pra adquiri-lo. por um copo plástico, está muito barato.",5
???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? eu estou indignado ???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? desculpe pelos palavrões,1
"não funcionou direito, em 2 dias o encaixe quebrou. fiz a reclamação e não recebi resposta",1
"simplesmente uma pechincha! apenas 1.994,20. dei de presente pra minha família inteira!!!!",4
"material bom, fácil de montar. só o acabamento que não é dos mais perfeitos pois alguns parafusos ficam aparecendo no móvel.",4
"vale a pena comprar, funciona parcialmente. vale a pena comprar, funciona parcialmente.",4
"avaliação péssima, já pedido o reembolso. me venderam uma falsificação de 5ª categoria, empresa muito da sem vergonha em tentar um golpe como esse. espero que me devolvam o dinheiro o quanto antes.",1
"maia um espetáculo de produto. sou fã da marca e maia uma vez traz um produto incrível, a pele fica perfeita, uniforme, com toque macio, não fica brilhante e oleosa.",5
"tentei financiar mas o bndes não aprovou, não posso comprometer mais de 200% da renda familiar. que pena!",5
"minha avaliação é ""bom"" , porem vem a mensagem "" o texto de análise é muito curto . então vamos encher linguiça rrrrrrrrrrrraaaaaaaaaaaaaaassssssssssdddddddddddddfffffffffffffggggggggggghhhhhhhhhhhhhhhhhh",5
"gostei do produto, atende a minha necessidade e a entrega foi antes do prazo esperado, estou satisfeito",5
"aparelho prático, porém o manual de operação não é muito instrutivo",3
"tudo certo, como sempre. entrega no tempo certo produtos certos também",4
tudo certo como sempre. entrega correta. gostei muito do produto,5
"ótima imagem. fácil de configurar e utilizar. ponto negativo: não possui tecla dedicada a netflix, que não funciona plenamente as funções sem o auxílio de mouse.",4
cadê o produto que comprei ?¿? está na hora de mudar de gestão administrativa,1
tudo muito bom! o celular teve uma entrega super rápido e o produto tem qualidade tambem,5
o produto agradou bastante. o test-driver foi nosso sobrinho. o produto é muito interessante e entrega tudo o que promete.,4
"o custo benefício foi o melhor que encontrei , muito bom para mídias.",4
eficiente e silencioso. do jeito que eu precisava. muito satisfatório em relação à economia de sabão e água.,4
aparelho de desempenho muito bom.. unico problema é que aquece demais !!,4
"produto era o esperado, bom, resistente, achei que seria melhor.",3
"superou e muito minhas expectativas,ótimo custo benefício,é uma maquina com um designer moderno e que cumpri seu papel 100%.",4
"comprei este produto porque ja tinha um de outra marca (zenbag) da qual gosto muito. escolhi esta marca porque estava barato. que erro! mais dificil de encher do que o original e rasgou no segundo dia de uso, foi pro lixo, muito frágil. não comprem este produto!!!!",1
"produto condiz com a descrição, satisfatório. minha filha gostou muito.",5
"produto bom, com preço bacana, vale a pena o custo beneficio",3
"muito bom, gostei da qualidade do papel, entrega rápida também. obrigada!",4
"recebi o produto no prazo e o produto e bom, kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk",4
"gostei do produto, porém o site é muito desorganizado, mercadoria não chega no dia previsto, são colocadas informações que não são verdadeiras, entregam para qualquer pessoa que estiver em casa, sem ao menos anotar nome, documento ou qualquer coisa do tipo. fiquei muito insatisfeita em relação ao atendimento.",1
"comprei de presente de natal para minha namorada, a previsão de entrega era para o dia 27, mas dia 20 já estava em minhas mãos. ela ficou super satisfeita com o produto!",5
"fiquei satisfeita com o produto, porém o que me desagradou foi a capa do livro não ser dura e as paginas parecerem jornal, por ser fina e asperosa.",3
funcional e num preço justo. recomendo! comprem sem medo!,5
em relação ao preço o brinquedo é muito bom. funciona direitinho em curta distancia.,3
produto veio todo danificado e deu muito trabalho para conseguir contato pois a americanas não possui uma possa para falar com um atendente todas as pssoes dão errado o contato e preciso muita sorte e muita fentativa levando até duas horas de tentativas a única opção que funciona e para falar com vendedores ...dai eles transfere a ligação e a partir daí não funciona mais,1
"apesar do pouco tempo de utilização, o produto aparenta ser bom, entretanto, apresenta alguns ruídos que incomodam.",3
recomendo a todos a fritadeira philco air fry saúde inox ph pela excelente relação custo/benefício oferecida por este produto. atendeu plenamente todas as nossas necessidades aqui em casa. aproveito a oportunidade para parabenizar as lojas americanas mais uma vez pelo excelente atendimento e elevado nível de profissionalismo demonstrados.,5
"otimo produto recomendo,foi entregue antes do prazo",4
"produto entregue bem antes do prazo, em perfeitas condições e está funcionando satisfatoriamente.",4
"comprei junto a tinta de coloração, que ainda não chegou, por esse motivo ainda não pude usar, mas sei que o produto é top! aguardando ansiosa a chegada!!!!",4
"não ilumina o cabelo ja na primeira vez, tira um pouco do amarelado mas depende do tempo de ação que você deixa agir no cabelo.",4
ótima qualidade o produto e a entrega foi bem antes do prazo.,4
não recebi o brinquedo ate a data de 02/01/2018 sendo que fiz a compra que a data marcada para a entrega era ate 20/12/2017...comprei o brinquedo para dar de presente para minha filha de 6 anos que tinha feito o pedido do mesmo brinquedo na cartinha para o papai noel. como ate hoje não recebi o brinquedo minha filha ficou sem o desejado brinquedo do papai noel.. sem palavras para descrever a carinha de tristeza e choro de minha filha quando sua irmãzinha recebeu o presente pedido ao papai noel e ela ficou sem presente..,1
"livro bem acabado, material e encadernação de qualidade. comprei para presentear. chegou no prazo correto, atendimento de qualidade.",5
a criança gostou muito!!! o produto chegou muito rápido! recomendamos,4
"ótimo custo beneficio, entretanto a câmera deixa um pouco a desejar.",4
a qualidade das fotos são muito boas e gostei muito da função crianças. além da entrega que foi super rápida. parabéns americanas!,4
otimo pruduto eu recomendo para todos meu amigos e conhecido,4
não é possível um copo custar tudo isso. com certeza erraram o preço,2
"meu sobrinho amou esse jogo, era tudo que ele queria, com certeza acertei na compra, chegou antes do prazo eu recomendo.",5
recomendo a todos muito bommmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,5
ótimo produto com bom custo benefício. recebi tudo em ordem!!!,4
o valor do celular foi muito bom e o tempo de envio razoável. indico o site.,5
"muito boa. parece de brinquedo, mas funciona muito bem. aprovadíssima.",5
"um produto muito bom e chegou entes do prazo,eu recomendo este vendedor!",4
"vem com bateria incluída e num estojo com ótima apresentação. o reconhecimento do receptor no computador foi instantâneo, o laser tem boa potência e a caneta bom acabamento.",5
"otimo bom para ter no carro, no sitio em e em socais com pouca iluminaçao",4
entregou antes do combinado por isso recomendo este produto,4
"a entrega foi feita um dia após o prazo dado, nos deixando aflitos pois era presente de natal. no mais correspondeu às expectativas.",3
"brinquedo bem acabado em seus detalhes, entrega dentro do previsto... recomendo.",4
"minha filha amou, mas é muito fragil e logo estragou.",2
eu não saberia dizer porque a previsao para chegada era dia 28/12/2017 ate agora no dia 02/01/2018 não chegou,1
tudo em bom estado e funcionando conforme o esperado.,4
excelente produto excelente preço e entrega rápida.,5
"pelo preço do produto, é uma boa compra. acho só que é não dura muito, vamos ver.",3
como que vou avaliar se eles nem pra entrega eles entrega.deicharam meu filho sem presente no natal maior sacanagem.,1
"amei o copo, aproveitei a promoção é comprei 100 para lembrancinha de aniversário!",5
recomendo a todos. produto bem embalado e entregue no prazo,5
entrega certinha e funcionou perfeitamente. recomendo o produto e a loja.,5
"copo maravilhoso, cravejado a ouro, com canudo de diamante, super recomendo!",5
"pedi azul veio cinza, não recomendo muito fraco e mal feito",1
"fotos muito bonitas, porém material plastico de baixa qualidade.",2
"otimo produto, excelente qualidade, apenas a limpeza o cabo emborrachado segura muitos pelos do tecido.",5
"ótimo, pode adquirir que você não irá se arrepender. ""vai por mim""",4
"produto bom, um pouco pesado, a montagem é simples, não é necessário ferramentas pesadas, alem da parafusadeira que é facilmente substituída, vem com chave allen pra parafusar as peças. mas eu amei, chegou com menos de 1 mês, fiquei surpresa. só tomar cuidado com o tornozelo pois o espaço entre o chão e cama pode machucar um pouco.",5
"chegou antes do prazo, um produto de qualidade, mto obrigado gente. belo trabalho de vcs !!",5
"comprei esse produto para presentear, quando dei de presente já havia passado 7 dias da compra e não poderia mais reclamar com as lojas americanas, acontece que funcionou 3 dias, depois disso parou, ligava e desligava sozinho, não mudava as estações... reclamei então com o fabricante e estou devolvendo, foram atenciosos. vamos ver o que vai acontecer daqui pra frente.....",1
"creio que a minha insatisfação maior venha da própria dell, notebook chegou bem embalado e dentro do prazo porém após fazer todas as atualizações do windows 10 o notebook apresenta tela preta constantemente... estou tentando checar se existe alguma inconpatibilidade de software e drivers para entrar em contato com a dell.",2
"ótimo, pois podemos escolher com melhor facilidade.",5
"achei um celular bacana e com um bom preço,estou bem satisfeito com a compra.",3
perfume muito bom por um preço ótimo! recomendo sem dúvida.,5
"minhas netas ficaram muito felizes com as bicicletas, e nós aprovamos o produto. muito bom, chegou sem problema algum e chegou na data prevista.",5
"o roteador tplink ac 750 é de ótima qualidade, fácil de instalar e o sinal abrange toda casa, cerca de 150 metros quadrados.",5
a primeira mochila veio com zíper quebrado mas a troca foi feita rapidamente.,3
tudo que eu sempre quis em um copo. excelente qualidade e preço acessível.,5
copo muito frágil. motor fraco. apesar de ser um walita o produto não corresponde a propaganda.,2
funciona razoavelmente com a maioria dos equipamentos porém se ligara direto no notebook não transmite,2
"pesada demais, não aquece como mostra no vídeo marketing, difícil demais. não alisa como promete. não gostei. inclusive, estou aguardando virem retirar o produto, enviei um e-mail dia 17 de dezembro, solicitando a devolução do produto e até agora não obtive o retorno. estou no aguardo.",1
"comprei o notebook e mesmo veio bloqueado para outros sistemas, não entra windows. e a loja não quer trocar o produto, não recomendo.",1
ótima qualidade! atendimento da empresa lcg eletro nota 10! recomendo,5
"chegou rápido e funciona perfeitamente, recomendo e já quero comprar outra para minha irmã que amou o design",5
gostei muito do produto porem a foto que voces divulgam nao condiz com o tamanho real do produto. favor atualizar porque a foto mostra o produto maior e na realidade ele e o de tamanho menor.,4
"fiz muitas pesquisas antes de comprar, queria algo que exigisse força, faço musculação, treino pesado e não queria nada muito leve, comprei esta é adorei, estou pedalando no nível 3 e fico morta...kkkk, recomendo com certeza!",5
"excelente compra, preço bom e de ótima qualidade! atendimento da loja lcg eletro nota 10, recomendo!",5
"comprei para o quarto mas estou pensando em comprar para casa inteira, fica muito moderno! o atendimento da empresa lcg eletro também foi excelente! recomendo",5
"chegou antes do prazo como é uma cafeteira eu não posso dizer muita coisa sobre a parte de leite com nescau por exemplo, o café é perfeito excelente, mais sobre o leite ele saí um pouco aguado... e se tivesse um ajuste de temperatura pra não sair tão quente, seria melhor...",5
tem que medir bem antes de instalar da muito trabalho pois não vem com um molde para medir onde furar!,3
"olha, eu realmente gostaria de avaliar o produto, se tivesse recebido. muito decepcionante o trabalho de vcs, não prometam o que vcs não podem cumprir, assim a gente fica com a sensação que estamos no brasil, onde todos prometem o que não podem cumprir e estão se lixando por isso.",1
"a chapinha me atendeu no que precisava, fazer progressiva no meu cabelo.",3
ótimo produto prático no começo e meio complicadoas qiamdo pega o jeito e b demais..,4
preço muito barato para o que esse copo maravilhoso tem a te oferecer. cravejado diamantes e canudo feito de cristal swarovski. perfeito para todas as situações principalmente para levar parado trabalho e ostentar.,5
"maravilhoso não precisa de mudar em nada, comprem pois vale muito a pena",5
"a única reclamação que tenho é que comprei duas prancha bivolt e veio duas prancha 110v, tirando isso a prancha é muito boa.",4
"chegou completo, e 8 dias antes do prazo sempre compro no site das americanas e nunca tive problema com nada",5
"eu bati o olho e falei: quero. preço de banana e um copo lindo desses, bicho.",5
as lojas americanas nunca falhou comigo. sempre recomenda as pessoas que conheço.,4
produto excelente eu recomendo este produto! entrega antes do prazo estipulado. rapidez na entrega. produto bem embalado.,5
"cadeira confortável, fácil ajuste. chegou dentro do prazo. indico.",4
"comprar via internet nunca mais, principalmente na americanas.com, total absurdo! passei diversos e-mail e liguei para saber de meu pedido que já fiz, agora recebo e-mail para avaliar o pedido feito em 01/12/2017 que até o presente momento não tive se quer uma resposta !!!! americanas.com deixa qualquer um vender em seu site sem saber a procedência do produto e de quem a está vendendo.",1
"produto não funciona corretamente, queima em uso do nada. nao recomendo. vou optar por marcar nacionais e com garantia de 1 ano pelo menos.",1
"seccao transversal mto larga, logo o vinho passa direto ao invés de acumular pra criar pressão. deveria ter a seção transversal fina para acumular e passar com maior velocidade e menor pressão, sugando ar. cópia mal feita do aerador vinturi original.",1
"o produto é excelente, mas o que me impressionou mesmo foi a entrega. paguei dia 22/12 e chegou dia 27/12, ou seja, com apenas 2 dias úteis, sendo que a entrega estava programada para o dia 28/01. parabéns à equipe pela eficiência na entrega, estou muito satisfeito.",5
"comprei esse suporte para instalar um bauleto givi. após poucos meses, um dos parafusos que prende esse bagageiro à moto quebrou porque a solda do bagageiro quebrou. não carrego nada pesado no bauleto, apenas capa de chuva, botas, luvas e cabo de aço. o bagageiro é muito pesado e o projeto dele exerce efeito ""alavanca"" sobre a moto, porque não há nenhum suporte abaixo.",1
"ainda não recebi o produto, gostaria de saber onde faço a reclamação.",1
"atende a necessidade, caso sua necessidade sejam duas xícaras de café por vez.",3
produto excelente gostei muito e recomendo> produto muito bom,5
"a tv é maravilhosa, porém, eu não sei se é defeito ou é da própria tv isso , tentei conectar o dvd na tv e aparece indisponível , ou seja , não consegui conectar o dvd à tv .. meu esposo disse que era defeito",2
não recebi o produto porque fui enrolada pela americanas.,1
"facilita o dia a dia da cozinha, tem alta potencia é fácil de usar, limpar, guardar e usar. recomendo",5
"este termômetro pode ser ativado e medir rapidamente a temperatura pressionando apenas o botão em forma de gatilho, o que o torna bem eficiente. a unica desvantagem é o tamanho relativamente grande em comparação a outros modelos.",4
"tive problemas na entrega, demorou muito mas o produto é bom.",4
"muito bom o produto, chegou em bom estado, não apresentou nem um defeito.",3
"produto muito bom, perfeito para comodidade do dia a dia",5
"câmera muito boa, rápido, bateria dura e a carga é muito rápida. amei!",5
"as demais traduções dessa obra que circulam no brasil são muito mal criticadas. esta, como diz euler brasil, permite ao leitor conhecer o texto de lawrence.",5
não compre se for dá up2games ela rouba seu dinheiro ! é vergonhoso como a americanas tem parceria com esse lixo de loja !,1
"entrega dentro do prazo e o produto tudo perfeito, de qualidade!",4
não compre se for dá up2games ela rouba seu dinheiro ! é vergonhoso como a americanas tem parceria com esse lixo de loja !,1
"é um bom smartphone, dentro do esperado, o prazo de entrega regular, comprei dia 01/12/2017 e chegou dia 21/12/2017; eu recomendo este produto.",3
protudo em perfeitas condições. entrega dentro do prazo.,5
entregue dentro do prazo bom atendimento e acompanhamento,4
"poderia ser mais barato, as americanas tem condições de melhorar isso.",4
"não recebi meu produto ainda. os correios ficaram de realizar a terceira tentativa de entrega e nunca vieram. esses dias sempre tem gente em casa e tem cameras de segurança e não vimos nenhum movimeento de carteiro. antes disso fomos na agencia dos correios buscar o produto porém eles informaram que o produto não estava, sem nem mesmo realizar a terceira tentativa de entrega isso é uma falta de respeito com o consumidor. eu paguei o produto e quero receber. se não estivesse precisando não teria feito o pedido.",1
não compre se for dá up2games ela rouba seu dinheiro ! é vergonhoso como a americanas tem parceria com esse lixo de loja !,1
"recomendo muito esse produto alisa muito bem em uma só pasada além de deixa um brilho excelente no cabelo, e com aspecto hidratado.só a entrega que demorou muito mas tirando isso tou muito satisfeita com minha chapinha meu cabelo é cacheado e mesmo assim alisa muito bem.. esta chapinha além de linda é muito boa.",4
"gostei, mais achei muito pequeno. na imagem parecia ser um pouco maior.",3
não compre se for dá up2games ela rouba seu dinheiro ! é vergonhoso como a americanas tem parceria com esse lixo de loja !,1
o produto é completo em vitaminas! estou usando a 15 dias e já sinto minhas unhas bem mais fortes e com o crescimento mais acelerado. quanto ao crescimento dos cabelos precisarei aguardar mais um pouco para poder tirar minhas conclusões.,4
não compre se for dá up2games ela rouba seu dinheiro ! é vergonhoso como a americanas tem parceria com esse lixo de loja !,1
não compre se for dá up2games ela rouba seu dinheiro ! é vergonhoso como a americanas tem parceria com esse lixo de loja !,1
não compre se for dá up2games ela rouba seu dinheiro ! é vergonhoso como a americanas tem parceria com esse lixo de loja !,1
"otimo, excelente produto, chegou rapido, dentro do prazo, recomendo, chegou certinho.",5
so demorou entrega dos parceiros porem os produtos são bons eu recomendo,3
este celular tem um ótimo custo/benefício. já tinha um e comprei um 8 meses depois pra minha mãe.,5
"boa noite, fiz a compra do produto e por volta do dia 13/12 efetuei a retirada do pedido na loja das americanas em duque de caxias, na av. nilo peçanha. e foi verificado o estado do produto que até então se encontrava em perfeito estado. chegando em casa, no mesmo dia, o produto começou a apresentar defeito, não conseguindo ficar ligado, e há todo momento desligando e demorando de 5 até 10 minutos para ser ligado novamente, paralisando no anúncio da motorola e só depois de alguns minutos ligando por completo, e ficando no máximo 10 minutos ligado, e voltando acontecer a mesma coisa. durante a semana antes que completasse uma semana da compra ter sido retirada da loja, fui até a mesma, e chegando té lá e informando a atendente que efetua a entrega de produtos comprados pela internet, ou troca de produtos, a mesma me informou que ali não poderia está sendo efetuada a troca que teria que entrar em contato com a central da internet, e que pediriam para que eu enviasse o telefone de volta (não sei para aonde, pois não foi informado), e que eu ficaria sem telefone até que avaliassem o telefone, e provavelmente poderiam mandar outro, segundo a atendente, não tinha certeza da informação. o telefone parou de apresentar os problemas relatados, até o dia de hoje 02/01/2018, quando o mesmo não fica desta vez nem 5 minutos ligado, e apresenta novamente os mesmos problemas. não sei até hoje com quem entrar com contato, e peço com urgência uma resposta do que devo fazer, e qual a melhor orientação. o telefone não tem nem 1 mês de uso, e preciso do mesmo para trabalhos. desde já agradeço",1
"a americanas sempre entrega no prazo, show. menos os parceiros dela.",4
produto de primeira! atingiu a expectativa recomendo a marca.,5
"cumpre com o que promete............ muito bom, lindo de bom, bom é lindo",3
"notebook muito bom para trabalhos rapidos, pratico para reunioes!! altamente recomendado!",5
"vou ter que solicitar a troca do celular, pois as fotos tiradas com a câmara frontal apresentam uma mancha no centro da foto.",2
